,mean,std,skew,exc_kurt,min,max,ann_vol
RATE_PC1,3.580687802255623e-16,66.52153207463061,5.679773307848789,151.3867371915705,-714.0965617397042,1312.0897324659488,1055.996584202875
RATE_PC2,-7.608961579793199e-16,27.58953720946276,0.5279666527665106,8.022972525092392,-146.3002159942863,223.37037318658815,437.9703254616084
RATE_PC3,-1.7903439011278115e-16,19.472452502284572,0.28930342240615375,10.450721120595222,-143.7716817406016,154.2929918035932,309.1156004253743
r_SBER,7.688741689682296e-05,0.02383568460842493,-6.077821078198604,111.83600936926177,-0.4559182857381973,0.11768599067595895,0.37837976281717406
r_GAZP,-0.00041633081702976347,0.02673512405455231,-2.8937469696302918,46.66494448828366,-0.3631995063340299,0.22275131753785338,0.4244069371128375
r_LKOH,9.868693304883036e-05,0.02022778259526547,-1.6980305640303335,25.256966726407345,-0.25822003972146473,0.11699149380468661,0.32110609392811873
r_GMKN,-0.00038315638631929524,0.02019094466778208,-0.06489917754342431,5.127068034916489,-0.1502183114095373,0.0968740508939277,0.32052130995850225
r_ROSN,-5.033628921750628e-05,0.02377923642627626,-5.369553575891947,106.44817869168764,-0.4511243105525693,0.1567220006088034,0.3774836757056117
r_NVTK,-4.0308881247775024e-05,0.02447519467014281,-1.0805791818531962,22.178711246778015,-0.30166415357637594,0.16960137345044013,0.38853167032254854
r_TATN,9.331903852815951e-05,0.023210139455347358,-2.640736904644769,49.38473514049891,-0.35447756698011734,0.1832653982986611,0.36844954136386354
r_MGNT,-0.0005083082848884079,0.02240682148910101,-2.5142679939165014,40.29612226025146,-0.3285040669720361,0.12397923531605681,0.35569726398947543
r_MTSS,-0.0003530105226077167,0.020919646647354573,0.020418997135845943,50.24916456024141,-0.2329189885106604,0.28796823642568975,0.332089095265478
r_CHMF,-0.0002626675405495899,0.0236034227264686,-1.632260218656505,15.574706748282885,-0.2498555869113242,0.10832659925609112,0.3746927197449963
r_USD,3.0377027693741374e-05,0.01281026020532052,0.8531884261254976,17.009270909005338,-0.08258392681248518,0.11812002161144788,0.2033565763998319
r_EUR,5.746694027777094e-06,0.012991665674573808,0.535746111612986,14.870160455947023,-0.08408749351264862,0.10718333888158325,0.20623629894849896
r_BRENT,0.00014587396359118715,0.019952953932229466,-0.4144559822915276,3.9918093271772817,-0.12601353479289878,0.1091289165119209,0.31674332415484496
