DATE,STOCK_PC1,STOCK_PC2,STOCK_PC3
2021-01-05,2.125886996712575,-0.9267181127761265,-0.2601833114186221
2021-01-06,-0.4346608574749449,-0.8398220172966809,1.0338609716258622
2021-01-08,5.201901126806946,-1.0216545995321353,1.5651464581168846
2021-01-11,0.12266481258044452,-0.5999492067999063,-0.44128891417894256
2021-01-12,0.01690267545305613,-1.1790739017140017,-0.7012721019525836
2021-01-13,-0.02995227770860916,-0.8767680907610903,0.1111933411500196
2021-01-14,2.364059685905796,0.18880694728439465,0.5882968646021353
2021-01-15,-2.6246224016147255,-0.29387742155612223,-0.4466057923211656
2021-01-18,0.45170697806785015,0.0023069174784937263,0.11634807139778863
2021-01-19,-0.820230772089118,-0.003986646639074256,0.06747838915483495
2021-01-20,0.564255214195787,0.26661694022144267,0.8689842083757465
2021-01-21,-2.3000328969173265,0.8719328139176551,0.8063877835832012
2021-01-22,-1.3967618976895577,-0.03789562927003075,-0.32976555732959617
2021-01-25,0.6875849904433997,0.32334351881508505,-0.8223160273590547
2021-01-26,-0.23256419986024,0.6872055496204591,-0.23671702280462265
2021-01-27,-2.4633530842791145,-0.09217664279385553,-0.9584599737023428
2021-01-28,0.149773063242673,-0.1588800007929005,0.17313939192402578
2021-01-29,-3.7183925449657527,0.45044540560800794,-0.31621644578016556
2021-02-01,1.8019368908317142,-0.035449593605066505,0.5952071234981808
2021-02-02,1.143236705088215,-0.3799092738320729,-0.2432661769718289
2021-02-03,1.2884889466843656,-0.031051378148950416,0.11934969612909453
2021-02-04,1.3051218340435522,-0.26447767781353343,0.4922521620718818
2021-02-05,0.5857103710906112,-0.7129277912606338,-0.5540993576895288
2021-02-08,1.9884522594244123,-0.7504960609934964,0.1912897505361825
2021-02-09,-0.8137963636512303,0.5366764609732302,-0.6098094908161321
2021-02-10,-1.5711547670672805,0.29161949431037804,0.282138770669062
2021-02-11,-0.5098610074906451,-0.23712912811810993,0.17130711382328842
2021-02-12,1.968092122706852,-1.1964984994649404,-0.12828371922791523
2021-02-15,2.8082401010798854,-0.39514896287591567,0.3211319051340893
2021-02-16,0.05033686074875694,-0.03604222618789008,0.17840426448444233
2021-02-17,-1.3977561855039706,0.36159519679889573,0.7891672814902564
2021-02-18,-2.272040015105437,0.8388419973177699,0.7574978665671104
2021-02-19,2.341970165399103,0.2622533217024757,1.7432210533814012
2021-02-20,-0.6242194490609948,-0.12152365559979218,-1.0504193964082942
2021-02-22,-0.035407900243151186,-0.6951987109375083,-0.8689007530961673
2021-02-24,-1.5420084709245425,-1.3953751192080943,-1.6776074733873492
2021-02-25,-1.2169142919691478,-0.041960422152670596,-1.3882179580164213
2021-02-26,-1.2166986908871682,1.0762032794199508,0.8904610703548604
2021-03-01,1.9462540100734398,0.39163152364271026,0.8759095607638292
2021-03-02,0.796987320539092,-0.20085624617842562,-1.1915334145291656
2021-03-03,-0.050728233633387125,-0.6095223410653706,-0.2058540299479377
2021-03-04,-1.1760692429468633,-0.7985702448804287,-2.4956174933673543
2021-03-05,4.294631933416254,-2.8349027546745655,-0.38307296479431524
2021-03-09,2.604803004932287,-2.330893900809062,0.427418300855344
