TRADEDATE,USD,EUR
2021-09-07,72.9538,86.5743
2021-09-08,73.1909,86.8922
2021-09-09,73.4421,86.9114
2021-09-10,73.129,86.4677
2021-09-11,72.76,86.1478
2021-09-14,73.0841,86.115
2021-09-15,72.7171,85.988
2021-09-16,72.852,86.0674
2021-09-17,72.4329,85.3622
2021-09-18,72.5602,85.4614
2021-09-21,73.3315,85.8785
2021-09-22,73.2067,85.8568
2021-09-23,72.8806,85.4889
2021-09-24,72.7245,85.204
2021-09-25,73.0081,85.6823
2021-09-28,72.6613,85.0355
2021-09-29,72.5083,84.6752
2021-09-30,72.7608,84.8755
2021-10-01,72.6642,84.305
2021-10-02,72.9215,84.4577
2021-10-05,72.9239,84.6355
2021-10-06,72.5686,84.1723
2021-10-07,72.5682,83.9251
2021-10-08,72.2854,83.6053
2021-10-09,71.9882,83.1248
2021-10-12,71.6373,82.9273
2021-10-13,71.8801,83.0934
2021-10-14,71.8577,83.0028
2021-10-15,71.7846,83.3347
2021-10-16,71.2371,82.7276
2021-10-19,71.1714,82.4592
2021-10-20,70.9674,82.6841
2021-10-21,71.0555,82.6162
2021-10-22,70.9904,82.6399
2021-10-23,70.8623,82.4979
2021-10-26,70.1345,81.7418
2021-10-27,69.5526,80.7019
2021-10-28,69.8104,81.0289
2021-10-29,70.5207,81.8393
2021-10-30,70.52,82.2898
2021-11-02,71.0863,82.1687
2021-11-03,71.4783,82.9577
2021-11-04,71.4876,82.8112
2021-11-09,71.3975,82.5355
2021-11-10,71.2866,82.6497
2021-11-11,70.695,81.787
2021-11-12,71.1964,81.6552
2021-11-13,71.8118,82.2173
2021-11-16,72.2724,82.7736
2021-11-17,72.5553,82.5244
2021-11-18,72.8228,82.3553
2021-11-19,72.6022,82.2583
2021-11-20,72.7617,82.5845
2021-11-23,73.4506,82.7715
2021-11-24,74.8327,84.1718
2021-11-25,74.3726,83.6394
2021-11-26,74.6004,83.6793
2021-11-27,75.5873,84.9526
2021-11-30,74.9818,84.482
2021-12-01,74.8926,84.8234
2021-12-02,73.9746,83.8354
2021-12-03,74.0637,83.8105
2021-12-04,73.7426,83.2406
2021-12-07,73.6694,83.1138
2021-12-08,74.1399,83.7114
2021-12-09,73.8453,83.364
2021-12-10,73.5998,83.3444
2021-12-11,73.6059,83.1158
2021-12-14,73.4107,82.866
2021-12-15,73.4698,82.8299
2021-12-16,73.851,83.2375
2021-12-17,73.5708,83.1571
2021-12-18,73.733,83.5026
2021-12-21,74.2947,83.6187
2021-12-22,73.8206,83.3213
2021-12-23,73.7901,83.1541
2021-12-24,73.3583,83.1223
2021-12-25,73.1886,82.93
2021-12-28,73.2329,82.9363
2021-12-29,73.4959,83.2194
2021-12-30,73.6514,83.204
2021-12-31,74.2926,84.0695
2022-01-11,75.1315,85.1315
2022-01-12,74.8355,84.8784
2022-01-13,74.5277,84.6709
2022-01-14,74.5686,85.4556
2022-01-15,75.7668,86.8894
2022-01-18,76.0404,86.8609
2022-01-19,76.3347,87.0216
2022-01-20,76.8697,87.1318
2022-01-21,76.4408,86.8215
2022-01-22,76.6903,86.9054
2022-01-25,77.3649,87.5925
2022-01-26,78.6422,88.9286
2022-01-27,78.9437,89.1511
2022-01-28,78.947,88.468
2022-01-29,77.8174,86.6419
2022-02-01,77.4702,86.5032
2022-02-02,77.1302,86.7869
